,name,sam_update,rae_update,tie_grad_coeff_sam,seed_everything,enc_var,val_scale_inv,min_val_scale_inv,val_scale_inv4min_val_loss,val_loss,min_val_loss,val_kl,val_recon_loss,val_recon_loss_sam,val_recon_loss_no_sam,val_grad_loss,latent_dim
0,lilac-sweep-40,True,False,False,23567,1e-06,5.155793222499453e-09,5.138469840963947e-09,5.155793222499453e-09,0.6842977404594421,0.6842977404594421,0.6471380591392517,0.03679147735238075,0.03715960308909416,0.036791302263736725,-1.0,256
1,bumbling-sweep-39,True,False,False,5748,1e-06,7.805731455111986e-09,4.669927297077462e-09,7.805731455111986e-09,0.683677077293396,0.683677077293396,0.64530348777771,0.03780883923172951,0.03837353363633156,0.03780822083353996,-1.0,256
2,lyric-sweep-38,True,False,False,982,1e-06,7.163670265771021e-09,5.880896139422216e-09,7.163670265771021e-09,0.6825700998306274,0.6825700998306274,0.6451435685157776,0.03690362721681595,0.03742659464478493,0.036903101950883865,-1.0,256
3,driven-sweep-36,True,False,False,42,1e-06,8.23918689112409e-09,6.245292298665266e-09,8.23918689112409e-09,0.6820219159126282,0.6820219159126282,0.6451015472412109,0.03631982579827309,0.03692023828625679,0.036318566650152206,-1.0,256
4,lilac-sweep-33,False,False,False,982,1e-06,7.76962864593709e-09,6.083536791137776e-09,7.76962864593709e-09,0.6819190382957458,0.6819190382957458,0.6450620889663696,0.03685704991221428,0.03742372617125511,0.03685641661286354,-1.0,256
5,generous-sweep-34,False,False,False,5748,1e-06,8.1744161439618e-09,4.865519001019423e-09,8.1744161439618e-09,0.6825282573699951,0.6825282573699951,0.6452308893203735,0.03729735314846039,0.03788990154862404,0.037296704947948456,-1.0,256
6,desert-sweep-32,False,False,False,64,1e-06,7.136161384575159e-09,5.489751249269753e-09,7.136161384575159e-09,0.6821519732475281,0.6821519732475281,0.6447892189025879,0.03736280649900437,0.0378781333565712,0.03736264258623123,-1.0,256
7,fresh-sweep-31,False,False,False,42,1e-06,8.894125750130565e-09,6.424662810566915e-09,8.894125750130565e-09,0.6811515688896179,0.6811515688896179,0.645003616809845,0.03614765405654907,0.03679721802473068,0.03614654019474983,-1.0,256
8,exalted-sweep-30,True,False,False,23567,0.0001,3.85475320752087e-08,3.85475320752087e-08,3.85475320752087e-08,0.45782554149627686,0.45782554149627686,0.4170174896717071,0.03798171505331993,0.04080815985798836,0.03795284405350685,-1.0,256
9,stellar-sweep-26,True,False,False,42,0.0001,5.1368466213624194e-08,4.75849813043367e-08,5.1368466213624194e-08,0.4580903947353363,0.4580903947353363,0.41535893082618713,0.03898417204618454,0.042731452733278275,0.03895066678524017,-1.0,256
10,curious-sweep-29,True,False,False,5748,0.0001,4.5492796625089586e-08,3.298405636473875e-08,4.5492796625089586e-08,0.4603525996208191,0.4603525996208191,0.41543707251548767,0.04150630906224251,0.04491551220417023,0.041474148631095886,-1.0,256
11,breezy-sweep-27,True,False,False,64,0.0001,4.420549117074884e-08,3.879474954963175e-08,4.420549117074884e-08,0.45813602209091187,0.45813602209091187,0.4149320423603058,0.04000440239906311,0.043204061686992645,0.039978355169296265,-1.0,256
12,frosty-sweep-28,True,False,False,982,0.0001,4.4661766615829664e-08,4.192049878015541e-08,4.4661766615829664e-08,0.4580163061618805,0.4580163061618805,0.41544365882873535,0.039243992418050766,0.042572714388370514,0.03921955078840256,-1.0,256
13,crisp-sweep-25,False,False,False,23567,0.0001,5.337776071112842e-08,5.308384774235988e-08,5.337776071112842e-08,0.4536070227622986,0.4536070227622986,0.416854590177536,0.03675235807895661,0.040749937295913696,0.036710307002067566,-1.0,256
14,vivid-sweep-22,False,False,False,64,0.0001,7.092425941597561e-08,5.46830869040022e-08,7.092425941597561e-08,0.4519566893577576,0.45195668935775757,0.414539635181427,0.03741702809929848,0.04270893335342407,0.03737170994281769,-1.0,256
15,lilac-sweep-24,False,False,False,5748,0.0001,8.104546050597977e-08,4.846591329312407e-08,8.104546050597977e-08,0.4523521959781647,0.4523521959781647,0.4149896502494812,0.03736251965165138,0.04352299869060517,0.037302177399396896,-1.0,256
16,sandy-sweep-23,False,False,False,982,0.0001,7.705945437436855e-08,6.059738232639775e-08,7.705945437436855e-08,0.4517196714878082,0.4517196714878082,0.41481640934944153,0.03690318390727043,0.04283374175429344,0.03684890270233154,-1.0,256
17,zany-sweep-17,True,False,False,64,0.01,7.131709262464302e-08,7.131709262464302e-08,7.131709262464302e-08,0.24281345307826996,0.24281345307826996,0.18514475226402283,0.05329873040318489,0.05766873061656952,0.05299581214785576,-1.0,256
18,blooming-sweep-20,True,False,False,23567,0.01,7.92695469785025e-08,7.92695469785025e-08,7.92695469785025e-08,0.24168847501277924,0.24168847501277924,0.1858574002981186,0.05110044404864311,0.05583110824227333,0.05072354897856712,-1.0,256
19,wobbly-sweep-21,False,False,False,42,0.0001,8.802725464647462e-08,6.42094522606254e-08,8.802725464647462e-08,0.45098936557769775,0.45098936557769775,0.4147653877735138,0.0362238809466362,0.04294938966631889,0.03615204244852066,-1.0,256
20,feasible-sweep-16,True,False,False,42,0.01,1.3769519584904064e-07,1.374403817983854e-07,1.3769519584904064e-07,0.24714772403240204,0.24714772403240204,0.18593579530715945,0.05513691529631615,0.061211958527565,0.05466136336326599,-1.0,256
